from_pretrained,input_seg_size,input_seq_len,num_mem_tokens,lr,lr_scheduler,sum_loss,f1,best_valid_f1,f1_std,n_runs,runs
bert-base-cased,512.0,1497,10.0,1e-05,linear,False,0.8955723113483853,0.748885260687934,0.014339011971769958,9,"[0.9, 0.88, 0.88, 0.9, 0.9, 0.88, 0.88, 0.9, 0.92]"
bert-base-cased,512.0,1497,10.0,5e-05,constant_with_warmup,False,0.8974358836809794,0.7867647210756937,0.02220579546702764,3,"[0.88, 0.88, 0.92]"
bert-base-cased,512.0,1497,10.0,5e-05,linear,False,0.9358974099159241,0.7624901731808981,0.04441155652129762,3,"[0.96, 0.96, 0.88]"
bert-base-cased,512.0,1636,100.0,1e-05,linear,False,0.8976244330406188,0.7069106549024582,0.00802937315686369,8,"[0.9, 0.9, 0.9, 0.88, 0.9, 0.9, 0.9, 0.88]"
bert-base-cased,512.0,1996,10.0,1e-05,constant_with_warmup,False,0.9411764740943908,0.7272727489471436,,1,[0.94]
bert-base-cased,512.0,1996,10.0,1e-05,constant_with_warmup,True,0.9321267008781433,0.7221269309520721,0.012798312018818042,2,"[0.94, 0.92]"
bert-base-cased,512.0,1996,10.0,1e-05,linear,False,0.9008403420448303,0.7276737519672939,0.01636353969180312,7,"[0.88, 0.9, 0.92, 0.88, 0.9, 0.92, 0.9]"
bert-base-cased,512.0,1996,10.0,5e-05,constant_with_warmup,False,0.9433962106704712,0.739130437374115,,1,[0.94]
bert-base-cased,512.0,1996,10.0,5e-05,linear,False,0.9411764740943908,0.7755101919174194,,1,[0.94]
facebook/bart-base,512.0,512,0.0,5e-05,constant_with_warmup,False,0.9157725969950358,0.788161834081014,0.021397159145405784,6,"[0.9, 0.94, 0.9, 0.9, 0.94, 0.9]"
facebook/bart-base,512.0,512,0.0,5e-05,linear,False,0.9291101098060608,0.8006146550178528,0.009346565587594825,6,"[0.94, 0.92, 0.92, 0.94, 0.92, 0.92]"
facebook/bart-base,512.0,512,0.0,0.0001,constant_with_warmup,False,0.8916303714116415,0.7885314623514811,0.010867606329352672,6,"[0.88, 0.91, 0.88, 0.88, 0.91, 0.88]"
facebook/bart-base,512.0,512,0.0,0.0001,linear,False,0.9160382151603699,0.8196356693903605,0.010904326518860707,6,"[0.9, 0.92, 0.92, 0.9, 0.92, 0.92]"
facebook/bart-base,512.0,922,50.0,5e-05,constant_with_warmup,False,0.9305882453918456,0.7962264120578766,0.014974016632647453,2,"[0.92, 0.94]"
facebook/bart-base,512.0,922,50.0,5e-05,linear,False,0.9125188589096069,0.7595959603786469,0.014931364021954467,2,"[0.9, 0.92]"
facebook/bart-base,512.0,922,50.0,0.0001,constant_with_warmup,False,0.8968531489372253,0.8324175775051117,0.017306844697725438,2,"[0.91, 0.88]"
facebook/bart-base,512.0,922,50.0,0.0001,linear,False,0.9305882453918456,0.8232576251029968,0.014974016632647453,2,"[0.92, 0.94]"
facebook/bart-base,512.0,972,25.0,5e-05,constant_with_warmup,False,0.9321267008781433,0.8452380895614624,0.012798312018817964,2,"[0.92, 0.94]"
facebook/bart-base,512.0,972,25.0,5e-05,linear,False,0.9332365691661835,0.8075980544090271,0.014367902804212287,2,"[0.94, 0.92]"
facebook/bart-base,512.0,972,25.0,0.0001,constant_with_warmup,False,0.9346610605716705,0.843137264251709,0.012353367739088456,2,"[0.94, 0.93]"
facebook/bart-base,512.0,972,25.0,0.0001,linear,False,0.9433962106704712,0.8542159199714661,0.0,2,"[0.94, 0.94]"
