task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,segment_ordering,padding_side,model_path,sum_loss,inter_layer_memory,num_steps,best_valid_rouge/geometric_mean
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1503,,10.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs8_iters3200_sl_rep_first/run_2,True,False,3200,14.488100051879883
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1503,,10.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs8_iters3200_sl_rep_first/run_1,True,False,3200,14.841400146484375
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1503,,10.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs8_iters3200_sl_rep_first/run_1,True,False,3200,14.310400009155273
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,0.0,regular,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem0_bs8_iters3200_sl_regular/run_2,True,False,3200,12.555899620056152
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,0.0,regular,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem0_bs8_iters3200_sl_regular/run_1,True,False,3200,12.069899559020996
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,1503,,10.0,regular,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs8_iters3200/run_2,False,False,3200,12.200400352478027
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,1503,,10.0,regular,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs8_iters3200/run_1,False,False,3200,12.630200386047363
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,972,,25.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_972-1024_mem25_bs8_iters3200_sl_rep_first/run_1,True,False,0,0.0
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,972,,25.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_972-1024_mem25_bs8_iters3200_sl_rep_first/run_1,True,False,160,10.130999565124512
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,2,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr1e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200_sl_rep_first/run_2,True,False,3200,15.397700309753418
