from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,num_mem_tokens,f1,best_valid_f1,precision,best_valid_precision,recall,best_valid_recall,accuracy,best_valid_accuracy,model_path
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9230769276618958,0.7450980544090271,0.9599999785423279,1.0,0.8888888955116272,0.807692289352417,0.9411764740943909,0.796875,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_3
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9019607901573181,0.75,0.9583333134651184,1.0,0.8518518805503845,0.807692289352417,0.9264705777168274,0.8125,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_3
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9019607901573181,0.7346938848495483,0.9583333134651184,0.9333333373069763,0.8518518805503845,0.7692307829856873,0.9264705777168274,0.796875,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_3
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9230769276618958,0.7555555701255798,0.9599999785423279,0.9333333373069763,0.8888888955116272,1.0,0.9411764740943909,0.828125,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_3
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9230769276618958,0.8235294222831726,0.9599999785423279,1.0,0.8888888955116272,1.0,0.9411764740943909,0.859375,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_2
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9200000166893005,0.7547169923782349,1.0,0.9166666865348816,0.8518518805503845,0.7692307829856873,0.9411764740943909,0.796875,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_2
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9019607901573181,0.7346938848495483,0.9583333134651184,0.9333333373069763,0.8518518805503845,0.7692307829856873,0.9264705777168274,0.796875,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_2
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9056603908538818,0.8333333134651184,0.9230769276618958,1.0,0.8888888955116272,1.0,0.9264705777168274,0.875,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_2
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9230769276618958,0.75,0.9599999785423279,1.0,0.8888888955116272,0.7307692170143127,0.9411764740943909,0.8125,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_2
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.8799999952316284,0.7599999904632568,0.95652174949646,1.0,0.8148148059844971,0.7307692170143127,0.9117646813392639,0.8125,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_1
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9019607901573181,0.7407407164573669,0.9583333134651184,1.0,0.8518518805503845,0.7692307829856873,0.9264705777168274,0.796875,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_1
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9019607901573181,0.7599999904632568,0.9583333134651184,1.0,0.8518518805503845,0.7307692170143127,0.9264705777168274,0.8125,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_1
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.8799999952316284,0.7234042286872864,0.95652174949646,1.0,0.8148148059844971,0.9615384340286255,0.9117646813392639,0.8125,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_1
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,4,4,linear,512,0,0.9230769276618958,0.807692289352417,0.9599999785423279,0.9166666865348816,0.8888888955116272,0.807692289352417,0.9411764740943909,0.84375,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_512_mem0/run_1
