from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,model_path,best_valid_exact_match
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,2,linear,998,,10,../runs/finetune/debug/double_question/quality/t5-base/lr5e-05_linear_adamw_wd1e-03_998-1024_mem10/run_1,27.8523006439209
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,2,linear,998,,10,../runs/finetune/debug/double_question/quality/t5-base/lr5e-05_linear_adamw_wd1e-03_998-1024_mem10/run_1,28.47559928894043
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,2,linear,998,,10,../runs/finetune/debug/double_question/quality/t5-base/lr5e-05_linear_adamw_wd1e-03_998-1024_mem10/run_1,28.859100341796875
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,2,2,linear,998,,10,../runs/finetune/debug/double_question/quality/t5-base/lr1e-04_linear_adamw_wd1e-03_998-1024_mem10/run_1,29.817800521850586
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,2,2,linear,998,,10,../runs/finetune/debug/double_question/quality/t5-base/lr1e-04_linear_adamw_wd1e-03_998-1024_mem10/run_1,30.105499267578125
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,2,2,linear,998,,10,../runs/finetune/debug/double_question/quality/t5-base/lr1e-04_linear_adamw_wd1e-03_998-1024_mem10/run_1,30.2012996673584
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,2,2,linear,998,,10,../runs/finetune/debug/double_question/quality/t5-base/lr1e-04_linear_adamw_wd1e-03_998-1024_mem10/run_1,29.961599349975586
