task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,segment_ordering,padding_side,model_path,sum_loss,inter_layer_memory,num_steps,best_valid_f1
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,4,2,linear,1503,,10.0,regular,,../runs/finetune/debug/qasper/t5-base/lr1e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs32_iters1600/run_1,False,False,0,0.0
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_sl_rep_first/run_3,True,False,1600,15.24020004272461
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_sl_rep_first/run_2,True,False,1600,15.937600135803223
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_sl_rep_first/run_1,True,False,1600,16.066699981689453
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,4,2,linear,1002,,10.0,regular,,../runs/finetune/debug/qasper/t5-base/lr1e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_sl/run_3,True,False,1600,11.045700073242188
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,4,2,linear,1002,,10.0,regular,,../runs/finetune/debug/qasper/t5-base/lr1e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_sl/run_2,True,False,1600,11.639599800109863
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,4,2,linear,1002,,10.0,regular,,../runs/finetune/debug/qasper/t5-base/lr1e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_sl/run_1,True,False,1600,10.8125
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,1,1,linear,512,,0.0,regular,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_512-1024_mem0_bs32_iters1600_sl/run_1,True,False,1600,18.865400314331055
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,4,2,linear,1503,,10.0,regular,,../runs/finetune/debug/qasper/t5-base/lr1e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs32_iters1600_sl/run_3,True,False,1600,10.012499809265137
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,4,2,linear,1503,,10.0,regular,,../runs/finetune/debug/qasper/t5-base/lr1e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs32_iters1600_sl/run_2,True,False,1600,10.380599975585938
